,0,1,2,3,4,5,6,7,8,9,10,11,12,13
cash_choice_task,0.0009191950350125425,0.062115056046250436,0.34657217031114157,0.0774928719319171,0.2559846664731658,0.37218784296328966,0.007032415582276817,0.3536572486122498,0.4020382260273856,0.4118011620798695,0.45694990386395223,0.024291245859799256,0.01255962381940149,0.00909178088799998
sst_cor_stop_pct,-0.058609267425297124,0.030959059923999832,0.2976820956145859,0.5650623022046517,-0.007415743270632935,0.32484656968477005,0.5789754451202108,-0.1448061441064898,-0.2944239422624268,-0.14753791399084076,-0.09540865743818894,0.028342463127075418,0.06523535257560294,0.05762057143743887
upps_y_ss_negative_urgency,0.05756814804169527,-0.003712545686624047,-0.008397542097490968,-0.05372259571145996,0.03482913604580398,-0.05175675570114158,-0.05365064022154939,0.028830691961370156,0.0052116124717049295,-0.03403864065350385,0.010026567665997133,-0.00293403587075821,0.7011712372422428,0.7022663485709659
upps_y_ss_lack_of_planning,0.01690164957044982,-0.6084498846383308,0.1304531868125272,-0.06544377798351472,-0.31005440327435596,0.08232249523815821,0.0770794809908113,0.1779382196488634,0.048484572665205616,0.01926623557420755,-0.06152285685160511,-0.6788548777090623,-0.006564684854964614,0.01715004005486201
upps_y_ss_sensation_seeking,0.48961697656825215,-0.31423905190551166,-0.30862280495304156,0.28283570973443184,0.4911620867286656,-0.11441479281289119,0.013446560871874291,-0.37813723276364086,0.02790064332101301,0.0950571869044244,0.23668851214920517,-0.14627934894159494,-0.00028757215274118064,-0.03939474498321821
upps_y_ss_positive_urgency,0.8653253367468339,0.2122881510843112,0.17418999523776663,-0.11023976209728804,-0.24810918471717378,0.06878358921509578,0.05053105432176154,0.24195957903557258,-0.04222177576553747,-0.09004968251753058,-0.1329071448004904,0.07298368801196685,-0.05737915565487918,-0.009420660905375189
upps_y_lack_perseverance,-0.01280305554571144,0.17092270409071464,0.3056640170099638,-0.23047737697494125,0.5068731888939678,0.29595778951432516,-0.3599753533609323,-0.04996479768354864,-0.33606289439130316,-0.3227396211954539,-0.09045367272874572,-0.34745479942056656,-0.029180697101814156,-0.02497338312211622
bis_y_ss_bis_sum,0.016540603763265393,-0.667137199320204,0.20877633059691264,-0.1087924488034121,0.15117827950220175,0.06603720661451276,-0.1039876884888441,0.1653024092931084,-0.11192780754884103,-0.21213695319978373,-0.05600651850159921,0.6103980657361401,-0.02154371831577953,-0.012661763960655714
bis_y_ss_bas_rr,0.05889253162786346,-0.07669850879518952,0.1724247776387783,-0.15975049016440698,-0.30885493526691243,0.38406333795308223,-0.25029118960462016,-0.6427377662410472,-0.06717012751420101,0.43011547305077896,-0.06805101300913083,0.125305514580466,-0.021846951872022437,0.08015050356031916
bis_y_ss_bas_drive,0.019707591067225673,-0.00747654469612935,0.14533916117145915,0.12597839789274076,0.05738843016341476,-0.1382849897455108,-0.11783811606047846,0.06454445196720475,-0.0567718523536071,0.26947078781856476,-0.2955307172198138,-0.007579121164135193,0.6178081879208064,-0.6141444062912524
bis_y_ss_bas_fs,-0.006939853939112292,-0.011890479289478346,0.16967029987295745,-0.19880131913155397,0.3670917387886238,-0.2677741819664699,0.30374031202697394,0.04847653134270087,-0.012224585987192468,0.4693010774513149,-0.5322312415434926,-0.021221450321295895,-0.2510375429920142,0.251594390053827
nihtbx_flanker_agecorrected,0.0021471346656474254,0.017757592764361244,0.39272794609528033,0.5688494586590827,-0.09517611546909815,-0.35873583001058035,-0.5024603535826904,-0.02841112066012578,0.18094361220032087,-0.05517281578982223,-0.12758447384377294,-0.030059001490840495,-0.20392286677867397,0.19047602613476294
beh_nback_neut-gt-neg_rt,-0.010112004652049634,-0.015552807234350013,-0.28426905499302735,0.2286884679845956,-0.07003929607679987,0.06990990744214085,-0.2466010452359133,0.38300748007331087,-0.6749497759995954,0.39509834551217293,0.10660393067001286,0.007300064639011691,-0.10854879968170808,0.11995169626767221
beh_nback_neut-gt-pos_rt,0.0015413098078084428,0.014899382603825137,0.44372332451617186,-0.23157098190477526,-0.08420954333364915,-0.5145989881176459,0.17527204250449102,-0.15159558705581078,-0.35368427210996056,0.061731002562289174,0.5388157253233873,-0.023517740860558717,0.027255066502086863,-0.05597908597979221
